id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
14726865,https://www.airbnb.com/rooms/14726865,Rental unit in Munich · 1 bedroom · 1 bed · 1 shared bath,,91678611,Ivana,2016-08-24,"Munich, Germany",,,,f,Neuhausen,1,1,t,,Neuhausen-Nymphenburg,48.14569,11.53166,Shared room in rental unit,Shared room,2,1 shared bath,1,,1,1125,0,,,,,,,,,,f,1,0,0,1,
14976237,https://www.airbnb.com/rooms/14976237,Rental unit in Munich · 1 bedroom · 3 beds · 1 bath,,12448910,Sebas,2014-02-21,"Munich, Germany",,,,f,Laim,1,1,t,,Laim,48.14312,11.49618,Entire rental unit,Entire home/apt,3,1 bath,3,,2,7,0,,,,,,,,,,f,1,1,0,0,
15794305,https://www.airbnb.com/rooms/15794305,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,44987181,Daniel,2015-09-24,"Munich, Germany",,,,f,Alt Moosach,1,1,t,,Moosach,48.18442,11.53336,Entire rental unit,Entire home/apt,2,1 bath,1,,7,1125,1,2020-07-28,2020-07-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.02
40839352,https://www.airbnb.com/rooms/40839352,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,317808258,Stefan,2019-12-15,,,,,f,Altstadt - Lehel,1,1,f,,Altstadt-Lehel,48.13635,11.58317,Entire rental unit,Entire home/apt,2,1 bath,1,,2,14,2,2020-10-12,2020-10-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.05
45776129,https://www.airbnb.com/rooms/45776129,Rental unit in Munich · 1 bedroom · 2 beds · 1.5 baths,,87534103,Alina,2016-08-02,"Bad Reichenhall, Germany",,,,f,,3,3,t,,Schwanthalerhöhe,48.13779,11.5305,Entire rental unit,Entire home/apt,2,1.5 baths,2,,10,42,0,,,,,,,,,,t,3,2,1,0,
42892910,https://www.airbnb.com/rooms/42892910,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,318736185,Emre,2019-12-18,"İstanbul, Turkey",,,0%,f,,1,1,f,,Milbertshofen-Am Hart,48.20318,11.56423,Entire rental unit,Entire home/apt,1,1 bath,1,$170.00,1,1125,1,2020-03-22,2020-03-22,4.0,5.0,5.0,5.0,5.0,5.0,4.0,f,1,1,0,0,0.02
43056523,https://www.airbnb.com/rooms/43056523,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,26602567,Daniel,2015-01-23,France,,,0%,f,,2,7,t,,Schwabing-West,48.15587,11.57712,Entire rental unit,Entire home/apt,2,1 bath,1,$250.00,8,29,2,2020-04-07,2020-05-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.04
50368493,https://www.airbnb.com/rooms/50368493,Condo in Munich · ★4.54 · 1 bedroom · 1 bath,,311212245,Mashkur,2019-11-21,"Munich, Germany",,,,f,,1,1,t,,Ludwigsvorstadt-Isarvorstadt,48.13133,11.56511,Entire condo,Entire home/apt,2,1 bath,,,3,365,13,2021-07-06,2022-10-04,4.54,4.62,4.0,4.46,4.77,4.92,4.38,f,1,1,0,0,0.43
44336913,https://www.airbnb.com/rooms/44336913,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,,47417825,Torben,2015-10-25,"Starnberg, Germany",,,67%,f,,1,2,t,,Ludwigsvorstadt-Isarvorstadt,48.12339,11.56491,Entire rental unit,Entire home/apt,2,1 bath,1,,4,9,10,2021-09-01,2023-10-03,5.0,4.9,4.7,4.7,4.8,4.9,4.9,f,1,1,0,0,0.35
38483614,https://www.airbnb.com/rooms/38483614,Rental unit in Neubiberg · 1 bedroom · 2 beds · 1 bath,,89547245,Jäger,2016-08-12,,,,,f,,1,1,f,,Ramersdorf-Perlach,48.07795,11.68178,Entire rental unit,Entire home/apt,2,1 bath,2,$500.00,2,7,0,,,,,,,,,,f,1,1,0,0,
